Scientific Name,deutscher name,CAT,Criteria,NHV,Bemerkungen
Inocybe rhacodes J. Favre,Fransiger Risspilz,EN,D1,,
Inocybe salicis Kuehner,Weiden-Rißpilz,EN,D1,,
Inocybe sambucina (Fr.) Quel.,Fliederweißer Rißpilz,EN,D1,,sandige Standorte
Inocybe squamata J.E. Lange,Dunkelschuppiger Rißpilz,VU,D1,,
Inocybe strigiceps Horak 1979,Pygmäen-Risspilz,VU,D2,,
Inocybe tabacina Furrer-Ziogas,Auwald-Risspilz,EN,D1,,
Inocybe tenebrosa Quel.,Schwarzfüßiger Rißpilz,EN,D1,,
Inocybe tricolor Kuehner,Dreifarbiger Risspilz,EN,D1,,
Inocybe umbratica Quel.,Weißlicher Rißpilz,NT,,,
Inocybe vulpinella Bruyl.,Fuchsigbrauner Rißpilz,NT,,,sandige Alluvionen
Inocybe xanthomelas Kuehner et Boursier,Dunkelstieliger Risspilz,EN,D1,,
Inonotus cuticularis (Bull.: Fr.) P. Karst.,Flacher Schillerporling,EN,B1ab(iv),,
Inonotus dryadeus (Pers.: Fr.) Murrill,Tropfender Schillerporling,NT,,,
Inonotus obliquus (Pers.:Fr.) Pilat,Schiefer Schillerporling,VU,B1ab(iv),,Rückgang real?
Inonotus rheades (Pers.) P. Karst.,Fuchsroter Schillerporling,EN,B1ab(iv),,
Ionomidotis fulvotingens (Berk. et M.A. Curtis) Cash,Braunschwarzer Rindenbecher,NT,,,
Ischnoderma resinosum (Fr.) P. Karst.,Laubholz-Harzporling,EN,B1ab(iv),,
Ischnoderma trogii (Fr.) Donk,Gestielter Harzporling,VU,B1ab(iv),,
Jahnoporus hirtus (Cooke) Nuss,Rauher Schafporling,EN,D1,,
Laccaria tortilis (Bolton) Cooke,Stachelsporiger Lacktrichterling,NT,,,
Lachnum nudipes (Fuckel) Nannf.,Nacktstieliges Haarbecherchen,VU,D1,,
Lachnum pygmaeum (Fr.) Bres.,Zwerg-Haarbecherchen,VU,D1,,
Lachnum rhytismatis (Phill.) Nannf.,Weißes Blatthaarbecherchen,NT,,,
Lacrymaria pyrotricha (Holmsk.),Feuerfarbener Saumpilz,VU,D1,,"nährstoffreiche, ruderale Standorte"
Lactarius acerrimus Britzelm.,Queraderiger Milchling,VU,B1ab(iii),,
Lactarius aspideus (Fr.: Fr.) Fr.,Schild-Milchling,EN,B1ab(iii),,sumpfige Orte
Lactarius azonites (Bull.) Fr.,Rauchfarbener Milchling,VU,B1ab(iii),,
Lactarius bertillonii (Neuhoff ex Z.Schaef.) Bon,Scharfmilchender Wollschwamm,EN,D1,,
Lactarius citriolens Pouzar,Fransen-Milchling,VU,B1ab(iii),,
Lactarius controversus Pers.:Fr.,Rosascheckiger Milchling,VU,D1,,In Pappelforsten
Lactarius dryadophilus Kuehner,Silberwurz-Milchling,EN,D1,,"alpine Art, kalkreiche Böden"
Lactarius fascinans Fr.,Verhexter Milchling,CR,A4ac,,keine Funde seit 1988
Lactarius flavidus Boud.,Hellgelber Violett-Milchling,VU,B1ab(iii),,
Lactarius flexuosus (Pers.:Fr.) Gray,Verbogener Milchling,VU,B1ab(iii),,
Lactarius glaucescens Crossl.,Grünender Pfeffermilchling,VU,B1ab(iii),,
Lactarius helvus (Fr.: Fr.) Fr.,"Bruchreizker, Maggipilz",VU,B1ab(iv),,In Mooren
Lactarius hepaticus Plowr.,Leberbrauner Milchling,VU,B2ab(iii),,"saure, nährstoffarme Böden"
Lactarius hysginus (Fr.: Fr.) Fr.,Kuhroter Milchling,VU,D1,,
Lactarius luteolus Peck,Weisser Milchbrätling,CR,A4ac,,"nur in Tessin gefunden, letzte Fundmeldung 1980"
Lactarius mairei Malencon,Braunzottiger Milchling,EN,B1ab(iii)+D1,,
Lactarius mammosus Fr.,Dunkler Duftmilchling,VU,B1ab(iii),,
Lactarius musteus Fr.,Heide-Milchling,EN,D1,,
Lactarius omphaliformis Romagn.,Moos-Milchling,VU,B1ab(iv),,In Schwarzerlenbruchwäldern
Lactarius quieticolor Romagn.,Brauner Kiefernblutreizker,EN,B1ab(iii)+D2,,
Lactarius repraesentaneus Britzelm.,Violettmilchender Zottenreizker,VU,"B1ab(iii,iv)",,
Lactarius resimus (Fr.: Fr.) Fr.,Wimpern-Milchling,EN,D1,,
Lactarius romagnesii Bon,Schwarzbrauner Milchling,VU,B1ab(iii),,
Lactarius rostratus Heilmann-Clausen,Runzeliger Zwergmilchling,VU,B2ab(iii),,
Lactarius ruginosus Romagn.,Weitblättriger Korallen-Milchling,NT,,,
Lactarius salicis-herbaceae Kuehner,Weiden-Mlchling,VU,D1,,alpine Art
Lactarius salicis-reticulatae Kuehner,Netzweiden-Milchling,EN,D1,,alpine Art
Lactarius sanguifluus (Paulet) Fr.,Weinroter Kiefern-Blutreizker,NT,,,
Lactarius scoticus Berk. et Broome,Flaumiger Moor-Milchling,VU,D1,,Möglicherweise mit L. pubescens verwechselt
Lactarius semisanguifluus R. Heim et Lecl.,Spangrüner Kiefernreizker,NT,,,Jura-Art
Lactarius serifluus (DC.: Fr.) Fr.,Wäßriger Milchling,VU,B1ab(iii),,
Lactarius spinosulus Quel.,Schüppchen-Milchling,EN,D1,,
Lactarius subumbonatus Lindgr.,Wäßriger Milchling,EN,B1ab(iii),,
Laricifomes officinalis (Vill.:Fr.) Kotl.et Pouzar,Lärchen-Baumschwamm,VU,B1ab(iv),§CH,An Lärchen
Leccinum duriusculum (Schulzer) Singer,Harter Pappel-Rauhfuß,VU,"B1ab(iii,iv)+B2ab(iv)+D1",,
Leccinum holopus (Rostk.) Watling,Moor-Birkenpilz,VU,"B1ab(iii,iv)+B2ab(iii)",,
Leccinum melaneum (Smotl.) Pilat et Derm.,Schwarzbrauner Birkenpilz,NT,,,
Leccinum molle (Bon) Bon,Schwammiger Rauhstielröhrling,VU,D1,,
Leccinum piceinum Pilat et Dermek,Fichten-Rotkappe,EN,D1,,
Leccinum quercinum Pilat,Eichen-Rotkappe,VU,"B1ab(iii,iv)+B2ab(iii)",,
Leccinum roseofractum Watling,Zigarrenbrauner Rauhstielröhrling,NT,,,
Leccinum tessulatum (O.Kuntze) Rauschert,Gelber Rauhfuß,VU,"B1ab(iii,iv)+D1",,
Leccinum versipelle (Fr.) Snell,Heide-Rotkappe,NT,,,
Leccinum vulpinum Watling,Kiefern-Rotkappe,EN,B1ab(iii),,
Lentinus cyathiformis (Schaeff.) Bres.,Becherförmiger Sägeblättling,EN,D1,,
Lenzites warnieri Durieu et Mont. In Mont.,Verkahlender Blättling,EN,D1,,
Lepiota alba (Bres.) Sacc.,Weißer Schirmling,VU,B1ab(iv),,
Lepiota echinacea J.E. Lange,Igel-Schirmling,VU,B1ab(iv)+C1,,
Lepiota fuscovinacea J.E. Lange et F.H. Moeller,Purpurbrauner Schirmling,NT,,,
Lepiota grangei (Eyre) J.E. Lange,Grünschuppiger Schirmling,NT,,,
Lepiota griseovirens Maire,Graugrüner Schirmpilz,VU,D2,,
Lepiota hystrix F.H. Moeller et J.E. Lange,Kegelschuppiger Schirmling,VU,B1ab(iv),,
Lepiota ignicolor Bres.,Feuerfarbener Schirmpilz,EN,D1,,
Lepiota lilacea Bres.,Lila Schirmpilz,EN,B1ab(iv),,
Lepiota ochraceofulva P.D. Orton,Ockerbrauner Schirmpilz,VU,D2,,
Lepiota parvannulata (Lasch) Gillet,Kleinberingter Schirmling,EN,"B1ab(ii,iii,iv)",,
Lepiota pseudoasperula (Knudsen) Knudsen,Kleinster Stachelschirmling,EN,B1ab(iv)+D1,,
Lepiota pseudofelina J.E. Lange,Falscher Schwarzschuppen-Schirmling,EN,B1ab(iv)+D1,,
Lepiota subalba Kuehner ex P.D. Orton,Fastweisser Schirmpilz,VU,B1ab(iv),,
Lepiota tomentella J.E. Lange,Schwachfilziger Schirmling,EN,D1,,
Lepista caespitosa (Bres.) Singer,Büscheliger Rötelritterling,VU,B1ab(iv),,
Lepista densifolia (J. Favre) Singer et Clemencon,Dichtblättriger Rötelritterling,VU,D1,,periodisches Auftreten
Lepista ricekii Bon,Scharfer Rötelritterling,VU,"B1ab(iii,iv)",,
Lepista rickenii Singer,Marmorierter Rötelritterling,VU,"B1ab(iii,iv)+B2ab(ii)",,
Leptoporus mollis (Pers.: Fr.) Pilat,Rötender Saftporling,VU,B1ab(iv),,
Leptosporomyces mutabilis (Bres.) L.G. Krieglst.,Veränderliche Gewebehaut,NT,,,wieso diese Abnahme?
Leucoagaricus badhamii (Berk. et Broome) Singer,Anlaufender Egerlingsschirmpilz,EN,D1,,
Leucoagaricus bresadolae (Schulzer) Bon,Rötender Egerlingsschirmpilz,VU,D1,,
Leucoagaricus pulverulentus (Huijsm.) Moser,Pulveriger Schirmpilz,EN,B1ab(iv),,
Leucoagaricus wichanskyi (Pilat) Singer,Robuster Egerlingsschirmpilz,VU,D2,,im Tessin
Leucopaxillus macrocephalus (Schulz.) Bohus,Grosser Krempentrichterling,CR,D1,,an xerothermen Standorten
Leucopaxillus mirabilis (Bres.) M.M. Moser,Schöner Krempentrichterling,VU,B1ab(iv)+C2a(i),,
Leucopaxillus pinicola J. Favre,Kiefern-Krempentrichterling,CR,A2a,,
Leucopaxillus rhodoleucus (Romell) Kuehner,Lachsblättriger Krempentrichterling,EN,D1,,
Limacella delicata (Fr.) Earle ex H. V. Smith,Zarter Schleimschirmling,EN,D1,,
Limacella vinosorubescens Furrer-Ziogas,Weinroter Schleimschirmling,VU,B1ab(iv),,
Litschauerella clematidis (Bourdot et Galzin) J. Erikss. et Ryvarden,Waldreben-Zystidenrindenpilz,VU,D1,,
Lobulicium occultum K.H. Larss. et Hjortstam,Fleckenpilz,CR,D1,,
Lycoperdon altimontanum Kreisel,Hochgebirgs-Stäubling,EN,D2,,alpine Art
Lycoperdon decipiens Durieu et Mont.,Steppen-Stäubling,VU,D2,,
Lycoperdon ericaeum Bonord.,Heide-Stäubling,EN,B1ab(iv),,Letzte Fundmeldung 1992
Lycoperdon frigidum Demoulin,Zwergweiden-Stäubling,VU,D1,,alpine Art
Lycoperdon lividum Pers.,Blasser Stäubling,VU,"B1ab(iii,iv)",,teilweise alpine Standorte
Lycoperdon mammiforme Pers.,Flocken-Stäubling,VU,D1,,
Lyophyllum favrei R.Haller et R.Haller,Favres Schwärzling,VU,B1ab(iii),§CH,
Lyophyllum incarnatobrunneum Gerhardt,Fleischbräunlicher Rasling,VU,D1,,
Lyophyllum macrosporum Singer,Grosssporiger Rasling,EN,B1ab(iv),,"feuchtes Grasland, selten"
Lyophyllum ochraceum (Haller) Schwoebel et Reutter,Ockerfarbener Schwärzling,EN,D1,,
Lyophyllum tenebrosum Clemençon,Dunkler Rasling,VU,D1,,
Macrolepiota heimii (Locquin ex) Bon in Bellu,Heims Riesenschirmling,EN,D1,,In mageren Wiesen
Macrolepiota olivascens M.M. Moser inM.M. Moser et Singer,Grünfleckender Riesenschirmlg,VU,D2,,
Macrolepiota permixta Barla,Rötender Riesenschirmling,VU,D2,,
Macrolepiota puellaris (Fr.) M.M. Moser,Jungfern-Schirmling,VU,D1,,vor allem in Graubünden
Macrolepiota venenata Bon,Gift-Schirmling,EN,D1,,
Marasmiellus candidus Bolt.:Fr.,Weißer Zwergschwindling,EN,B1ab(iv)+B2ab(iv)+D1,,
Marasmiellus tricolor (Alb. et Schwein.ex Fr.) Singer,Dreifarbiger Astschwindling,EN,D1,,mageres Grasland
Marasmius anomalus Lasch,Braunscheibiger Schwindling,EN,B1ab(iii),,Trockenwiesen
Marasmius buxi Quel.,Buchsblatt-Schwindling,EN,D1,,"an Buchsblättern, durch gezielte Suche eventuell mehr Standorte"
Marasmius capillipes Sacc.,Pappelblatt-Schwindling,VU,D2,,
Marasmius chordalis Fr.,Rotfleckiger Schwindling,EN,B1ab(iv)+C1i(),,
Marasmius collinus (Scop.ex Fr.) Singer,Hügel-Schwindling,EN,B1ab(iv),,
Marasmius epidryas Kuehner,Silberwurz-Schwindling,EN,D1,,"alpin, an Silberwurz"
Marasmius graminum (Libert) Berk.,Orangerötlicher Schwindling,VU,B1ab(iv),,"Magere Rasen, auch (oder vor allem?) im Siedlungsbereich"
Marasmius hudsonii (Pers.ex Fr.) Fr.,Stechpalmen-Schwindling,CR,D1,,Bei ganz gezielter Suche eventuell mehr Standorte
Marasmius limosus Boud. et Quel.,Schilf-Schwindling,NT,,,Evnetuell übersehen
Marasmius quercophilus Pouzar,Gedrängtblättriger Schwindling,EN,B1ab(iv),,
Marasmius saccharinus (Batsch) Fr.,Netzaderiger Schwindling,EN,B1ab(iv)+C2a(i),,
Marasmius scorodonius (Fr.) Fr.,"Küchen-/Knoblauch-Schwindling, Mousseron",NT,,,eventuell abnehmend
Marasmius tenuiparietalis Singer,Leistenblättriger Schwindling,VU,D1,,
Marasmius tremulae Velen.,Pappel-Schwindling,CR,D1,,
Melanoleuca subpulverulenta (Pers.) Metr.,Bereifter Weichritterling,VU,D1,,
Melanophyllum eyrei (Mass.) Singer,Grünblättriger Zwergschirmling,CR,D1,,
Melanotus phillipsii (Berk. et Broome.) Singer,Dunkelstieliger Krüppelfuß,VU,D1,,
Membranomyces spurius (Bourdot) Juelich,Gelber Hautrindenpilz,VU,D1,,
Metulodontia nivea (Karst.) Parmasto,Weisser Lamprosporenzystidenschwamm,VU,D1,,
Microglossum viride (Pers. ex Fr.) Gillet,Grüne Erdzunge,EN,D1,,
Mitrula paludosa Fr.,Sumpf-Haubenpilz,NT,,,in Hochmooren und Erlenbrüchen
Mollisia lividofusca (Fr.: Fr.) Gillet,Schwarzweißes Filzbecherchen,NT,,,
Mollisia palustris (Roberge) P. Karst.,Binsen-Filzbecherchen,VU,D1,,
Mollisia ramealis (P. Karst.) P. Karst.,Ast-Weichbecherchen,NT,,,
Mucronella calva (Alb. et Schwein.) Fr.,Rasiges Pfriem-Pilzchen,VU,D1,,
Mycena adonis (Bull.: Fr.) S.F.Gray,Korallenroter Helmling,VU,B1ab(iv),,
Mycena adscendens (Lasch) Maas Geest.,Zarter Helmling,VU,D2,,
Mycena alphitophora (Berk.) Sacc.,Königsfarn-Helmling,EN,D1,,an Rinde
Mycena avenacea (Fr.) Quel.,Braunschneidiger Helmling,EN,D1,,"in Wiesen, Rasen"
Mycena clavicularis (Fr.) Gillet,Grosser Schleimfuss-Helmling,EN,D1,,
Mycena fagetorum (Fr.) Gillet,Buchen-Helmling,CR,A3a,,Letzter Fund 1983
Mycena favrei Maas-Geest.,Favre Helmling,CR,D1,,
Mycena floridula (Fr.) Quel.,Glasstiel-Helmling,EN,D1,,
Mycena grisellina J. Favre,Hellgrauer Helmling,CR,D1,,nach Maas Geesteranus nur aus der Schweiz bekannt
Mycena latifolia (Peck) Sacc.,Breitblättriger Helmling,CR,D1,,
Mycena mucor (Batsch ex Fr.) Gillet,Gefalteter Helmling,CR,D1,,
Mycena olida Bres.,Ranziger Rindenhelmling,VU,D1,,
Mycena olivaceomarginata (Massee ap. Cke) Massee,Braunschneidiger Helmling,VU,B1ab(iv),,
Mycena pearsoniana Dennis ex Singer,Fleischfarbener Helmling,EN,D1,,Vor allem in Grünerlengebüschen
Mycena pseudopicta (J.E. Lange) Kuehner,Fastbeschmückter Helmling,EN,"B1ab(ii,iii)",,
Mycena purpureofusca (Peck.) Sacc.,Lilaschneidiger Helmling,EN,B1ab(iv),,
Mycena smithiana Kuehner,Leichtvergänglicher Eichen-Helmling,CR,A3a,,"Letzte Fundmeldung 1984, übersehen?"
Mycena urania (Fr.) Quel.,Dünnstieliger Helmling,EN,D1,,
Mycenella favreana E. Horak,Favre Reifhelmling,CR,D1,,alpin-subalpine Art
Mycenella margaritispora (J.E. Lange) Singer,Perlsporiger Reifhelmling,VU,D1,,
Mycenella trachyspora (Rea) Bon,Reifhelmling,EN,D1,,
Mycoacia aurea (Fr.) J. Erikss. et Ryvarden,Goldgelber Fadenstachelpilz,NT,,,
Myriosclerotinia sulcata (Whetzel) Buchwald,Seggen-Sklerotienbecherling,VU,D1,,
Myriostoma coliforme (Dicks. ex Pers.) Corda,Sieb-Erdstern,CR,A1ac,,"Viele Jahre verschollen, Südalpen"
Mytilodiscus alnicola Kropp et Carp.,Grünerlen-Muschelbecherling,NT,,,an Alnus viridis
Naucoria alnetorum (Maire) Kuehner et Romagn.,Zweisporiger Sumpfschnitzling,VU,B1ab(iii),,
Naucoria amarescens Quel.,Bitterer Schnitzling,NT,,,Brandstellen
Naucoria bohemica Velen.,Weißstieliger Erlenschnitzling,EN,D1,,
Naucoria subconspersa Kuehner,Behangener Schnitzling,NT,,,
Neottiella rutilans (Fr.: Fr.) Dennis,Rotes Moosschälchen,VU,D1,,bis in alpine Stufe
Neottiella vivida (Nyl.) Dennis,Warzigsporiges Moosschälchen,VU,D1,,
Octavianina asterosperma (Vittad.) Kuntze,Sternsporige Laubtrüffel,VU,D1,,
Octospora phagospora (Flageolet et Lorton) Denniset Itzerott,Viersporiges Zwerg-Moosbecherchen,VU,D1,,
Omphalina fusconigra P.D. Orton,Schwarzbrauner Nabeling,CR,D1,,In Mooren
Omphalina griseopallida (Desm.) Quel.,Graufilziger Adermoosling,VU,D1,,auch alpine Art
Omphalina obscurata D.A. Reid,Graubrauner Nabeling,EN,D1,,
Omphalina oniscus (Fr.: Fr.) Quel.,Rußiger Moor-Nabeling,VU,B1ab(iii),,In Mooren
Omphalina philonotis (Lasch ex Fr.) Quel.,Blasser Sumpf-Nabeling,EN,"B1ab(iii,iv)",,
Omphalina pyxidata (Bull.: Fr.) Quel.,Scherbenbrauner Nabeling,VU,B1ab(iii),,"sandige Stellen, trittgefährdet"
Omphalina rivulicola (J. Favre) Lamoure,Bach-Nabeling,NT,,,
Omphalina rustica (Fr.) Quel.,Dickblättriger Heide-Nabeling,EN,"B1ab(ii,iii)",,
Omphalina sphagnicola (Berk.) M.M. Moser,Torfmoos-Nabeling,EN,D1,,
Omphalotus olearius (DC ex Fr.) Singer,Leuchtender Ölbaumpilz,EN,D1,,wird wahrscheinlich von Klimaerwärmung profitieren!
Onnia triqueter (Lenz) Imaz.,Kiefern-Filzporling,VU,B1ab(iv),,
Ossicaulis lignatilis (Pers.: Fr.) Redhead et Ginns 1985,Holztrichterling,VU,D1,,
Otidea alutacea (Pers.) Massee,Ledergelber Öhrling,VU,"B1ab(iii,iv)",,
Otidea bufonia (Pers.) Boud.,Kröten-Oehrling,EN,D1,,
Otidea leporina (Batsch) Fuckel,Hasenohr,VU,"B1ab(iii,iv)",,
Oxyporus obducens (Pers.:Fr.) Donk,Krustenförmiger Steifporling,EN,B1ab(iv)+B2ab(iv),,
Pachykytospora tuberculosa (DC.: Fr.) Kotl.et Pouzar,Rauhsporiger Resupinatporling,EN,B1ab(iv)+B2ab(iv)+D1,,
Panaeolus acuminatus (Schaeff.) Quel.,Kegeliger Düngerling,VU,B1ab(iv)+D1,,
Panaeolus cinctulus Bolton,Dunkelrandiger Düngerling,VU,D1,,
Panaeolus fontinalis A.H.Sm.,Moor-Düngerling,EN,B1ab(iv),,
Panaeolus guttulatus Bres.,Getropfter Düngerling,VU,B1ab(iii),,
Panaeolus olivaceus Moeller,Punktiertsporiger Düngerling,VU,D1,,
Panaeolus reticulatus Overholts,Kleinsporiger Düngerling,VU,D1,,in Feuchtwiesen
Panaeolus retirugis (Fr.) Quel.,Runzeliger Düngerling,VU,D1,,
Panellus ringens (Fr.) Romagn.,Glockenknäuling,VU,D2,,
Panus suavissimus (Fr.) Singer,Anis-Sägeblättling,EN,D1,,an Laubholz
Panus tigrinus (Bull.: Fr.) Singer,Getigerter Sägeblättling,VU,"B1ab(iv,iii)",,
Paullicorticium niveocremeum (Hoehn. et Litsch.) Oberw.,Cremeweisser Multisterigmenpilz,VU,D2,,
Paxillus panuoides Fr.,Muschel-Krempling,NT,,,
Peniophora piceae (Pers.) J. Erikss.,Tannen-Rindenpilz,VU,D1,,
Peniophora pini (Schleich) Boidinss.,Kiefern-Zystidenrindenpilz,CR,B1ab(iii) + D1,,"an Föhren, speziell Pinus mugo"
Peniophora polygonia (Fr.) Bourdot et Galzin,Espen-Rindenpilz,EN,B1ab(iv),,
Peniophora proxima Bres.,Buchs-Zystidenrindenpilz,EN,D1,,An altem Buchs
Peniophora violaceolivida (Sommerf.) Massee,Violetter Zystidenrindenpilz,EN,D2,,
Perenniporia medullapanis (Fr.) Donk,Ockerfarbener Dauerporling,VU,B1ab(iv),,"starke Abnahme, Verlust von Standorten"
Peziza limnaea Maas-Geest.,Schlamm-Becherling,VU,B1ab(iv),,
Peziza moravecii (Svrcek) Donadini,Moravecscher Kotbecherling,VU,D1,,
Phaeocollybia arduennensis Bon,Kleiner Wurzelschnitzling,VU,D1,,
Phaeocollybia cidaris (Fr.) R. Heim,Fuchsiger Wurzelschnitzling,EN,B1ab(iv),,
Phaeocollybia festiva (Fr.) R. Heim,Olivgrüner Wurzelschnitzling,EN,D1,,
Phaeocollybia jennyae (P. Karst.) R. Heim,Kleiner Wurzelschnitzling,EN,D1,,
Phaeogalera oedipus (Cooke) Romagn.,Blätter-Scheinschüppling,VU,D1,,
Phaeogalera stagnina (Fr.) Kuehner,Geschmückter Häubling,EN,D1,,auch alpin
Phaeohelotium monticola (Berk.) Dennis,Braunsporiger Stengelbecherchen,NT,,,
Phaeomarasmius erinaceus (Fr.) Kuehner,Igel-Schüppchenschnitzling,VU,B1ab(iv)+C2a(i),,
Phallogaster saccatus Morgan,Beutelförmige Gallertnuß,VU,D1,,
Phallus hadriani Vent.ex Pers.,Dünen-Stinkmorchel,VU,D1,,"Südalpen, adventiv?"
Phanerochaete leprosa (Bourdot et Galzin) Juelich,Warziger Zystidenrindenschwamm,VU,D1,,"nur aus Tessin nachgewiesen, an Laubholz"
Phanerochaete martelliana (Bres.) J. Erikss. et Ryvarden,Grosssporiger Zystidenrindenpilz,EN,B1ab(iv)+B2ab(iv)+D1,,Art der Südalpen
Phellinus chrysoloma (Fr.) Donk,Fichten-Feuerschwamm,VU,B1ab(iv),,
Phellinus contiguus (Pers.: Fr.) Pat.,Zusammenhängender Feuerschwamm,NT,,,dramatische Abnahme!
Phellinus ferrugineofuscus (P. Karst.) Bourdot et Galzin,Rostrotrandiger Feuerschwamm,EN,B1ab(iv),,
Phellinus laevigatus (Fr. ex P. Karst.) Bourdot et Galzin,Glatter Feuerschwamm,VU,D1,,im Tessin offensichtlich häufig
Phellinus lundellii Niemelae,Lundells Feuerschwamm,EN,D1,,
Phellinus nigricans (Fr.: Fr.) P. Karst.,Schwarzer Birken-Feuerschwamm,EN,D1,,
Phellinus nigrolimitatus (Romell) Bourdot et Galzin,Dunkelgezonter Feuerschwamm,EN,"B1ab(iv,iii)",,"Bergnadelwald, Urwaldzeiger"
Phellinus pini (Brot.: Fr.) L.M. Ames,Kiefern-Feuerschwamm,CR,D1,,
Phellinus rhamni (Bondartsev) H. Jahn,Faulbaum-Feuerschwamm,EN,D1,,nur Tessin!
Phellinus torulosus (Pers.) Bourdot et Galzin,Rotporiger Feuerschwamm,CR,D1,,Art am Rand des Verbreitungsareals
Phellinus tremulae (Bondartsev) Bondartsev et Borissov,Espen-Feuerschwamm,VU,D1,,"ganze Schweiz, aber überall selten, alte Pappeln"
Phellinus viticola (Schwein.: Fr.) Donk,Dünner Feuerschwamm,CR,D1,,
Phellinus vorax (Harkn.) Cerny,Goldrandiger Feuerschwamm,VU,B1ab(iv),,
Phellodon confluens (Pers.) Pouzar,Starkriechender Duftstacheling,VU,"B1ab(iii,iv)+C2a(i)",,
Phellodon melaleucus (Fr.: Fr.) P. Karst.,Schwarzweißer Duftstacheling,VU,"B1ab(iii,iv)",,
Phellodon niger (Fr.: Fr.) P. Karst.,Schwarzer Duftstacheling,VU,B1ab(iii;iv),,
Phlebiella pseudotsugae (Burt) K.H. Larss. et Hjortstam,Douglasien-Faserrandwachshaut,EN,B1ab(iv)+B2ab(iv)+D1,,Pilz der Südalpen
Pholiota alnicola (Fr.) Singer,Erlen-Schüppling,VU,"B1ab(iii,iv)",,
Pholiota cerifera (P. Karst.) P. Karst.,Goldfell-Schüppling,NT,,,
Pholiota conissans (Fr.) M.M. Moser,Gras-Schüppling,NT,,,
Pholiota henningsii (Bres.) P.D. Orton,Torfmoos-Schüppling,CR,D1,,"viele Jahre ohne Nachweise, nun wieder mit einem Fund ausdem Pfäffikerriet von 2004 belegt"
Pholiota heteroclita (Fr.) Quel.,Abweichender Schüppling,EN,B1ab(iv),,
Pholiota jahnii Tjall.-Beuk. et Bas,Pinsel-Schüppling,NT,,,
Pholiota limonella (Peck) Sacc.,Intermediärer Schüppling,EN,B1ab(iv),,
Pholiota lucifera (Lasch) Quel.,Fettiger Schüppling,VU,B1ab(iv),,
Pholiota myosotis (Fr.) Singer,Sumpf-Schwefelkopf,VU,D1,,
Pholiota nematolomoides (J. Favre) M.M. Moser,Schwefelkopfähnlicher Schüppling,VU,D1,,ein seltener montaner Pilz
Pholiota spumosa (Fr.) Singer,Zweifarbiger Schüppling,NT,,,
Pholiota tuberculosa (Schaeff.: Fr.) P. Kumm.,Rötender Schüppling,VU,D1,,
Pholiotina aeruginosa (Romagn.) Moser,Grünspan-Glockenschüppling,EN,D1,,
Pholiotina cyanopus (G.F. Atk.) Singer,Blaufuss-Samthäubchen,EN,D1,,Adventive Art? Letzter Fund 1986
Pholiotina striaepes (Cooke) Lundell,Weißstieliges Samthäubchen,NT,,,wieso keine neueren Funde?
Phylloporus rhodoxanthus (Schwein.) Bres.,Goldblatt,NT,,,
Picoa carthusiana Tul.,Karthäusertrüffel,VU,D1,,
Pithya cupressina (Batsch ex Fr.) Fuckel,Orangegelber Wacholderbecherling,VU,D1,,
Plectania melastoma (Sowerby: Fr.) Fuckel,Schwarzmündiger Flechtbecherling,EN,D1,,
Pleurocybella porrigens (Pers.:Fr.) Singer,Ohrförmiger Seitling,VU,B1ab(iv);C2a(i),,
Pleurotus cornucopiae Paul.:Fr.,Rillstieliger Seitling,VU,B1ab(iv),,
Pleurotus eryngii (DC.: Fr.) Quel.,Kräuter-Seitling,EN,"B1ab(ii,iii)",,unbeschriebene Varietät des Alpenbogens
Pleurotus pulmonarius Fr.,Cremeweißer Seitling,NT,,,
Plicaria anthracina (Cooke) Boud.,Brandstellen-Becherling,NT,,,
Pluteus aurantiorugosus (Trog.) Sacc.,Orangeroter Dachpilz,EN,"B1ab(iv,iii)",§CH,
Pluteus chrysophaeus (Schff.:Fr.) Quel.,Zimtfarbiger Dachpilz,VU,B1ab(iv),,
Pluteus cyanopus (Quel.) Metrod,Blaustieliger Dachpilz,EN,B1ab(iv)+D1,,
Pluteus ephebeus (Fr.: Fr.) Gillet,Sepiabrauner Samt-Dachpilz,VU,B1ab(iv),,
Pluteus granulatus Bres.,Körniger Dachpilz,CR,D1,,
Pluteus hiatulus Romagn.,Dünnfleischiger Dachpilz,CR,D1,,
Pluteus luctuosus Boud.,Braunschneidiger Dachpilz,VU,B1ab(iv)+D1,,
Pluteus mammifer Romagn.,Gebuckelter Dachpilz,VU,D1,,
Pluteus minutissimus Maire,Mehlstieliger Dachpilz,VU,B1ab(iv)+D1,,
Pluteus pellitus (Pers.:Fr.) P. Kumm.,Weißer Dachpilz,EN,D1,,
Pluteus phlebophorus (Ditm.:Fr.) Kumm.,Netzaderiger Zwerg-Dachpilz,NT,,,
Pluteus poliocnemis Kuehner,Runzeliger Dachpilz,CR,D1,,
Pluteus pseudorobertii M.M. Moser et Stangl,Grauschuppiger Dachpilz,EN,B1ab(iv),,
Pluteus thomsonii (Berk. et Broome) Dennis,Graustieliger Adern-Dachpilz,VU,B1ab(iv),,
Pluteus umbrosus (Pers.:Fr.) P. Kumm.,Schwarzflockiger Dachpilz,NT,,,
Polyporus arcularius (Batsch: Fr.) Fr.,Weitlöcheriger Porling,NT,,,
